省份,correlation
64,0.1129550131082883
14,0.04717459550288477
42,0.03418820682062004
15,0.03346584085887558
51,0.030271536459790305
65,0.020587371934694485
11,0.018754262704747126
31,0.015670482218809897
41,0.008998816650360146
46,0.001379199660903941
33,0.0008624414406441868
62,-0.005136333417834722
50,-0.008888613190314344
34,-0.011113132372754405
22,-0.011827320595941418
36,-0.013283532226193
37,-0.016224916586787614
23,-0.018557297059167633
53,-0.018684549981634026
12,-0.019218722564091628
21,-0.02259723031138817
52,-0.028681630942851952
63,-0.02877891046044655
61,-0.030577388172962662
32,-0.03361426852295256
45,-0.03474424881846286
44,-0.06138710168566019
13,-0.06445857016249636
35,-0.0660682337361234
43,-0.09959324081307573
54,-0.10438035906619007
